"HolderAddress","Balance","PendingBalanceUpdate"
"0x8bff11a6e7db761dd3eb0193e5a4139329f32c8c","3294241506.01311","No"
"0x44fa90628d2a70f68809936ce9919f5be90e91fa","14862.142388243","No"
"0x04c9cc34f8664a616e0fb4ca518955fb44358e44","14554058089.2363","No"
"0xdbf9c28336f458f16c72a5d8fee70915687ef0fa","733.204913539","No"
"0xfc81cc5a78bee6f9e5756027d7072438d1b360ee","0.892668168","No"
"0x8886db31c490d72213f6a369d50cc254d7eac42b","20281.750872062","No"
"0x405cc07d017cd31d66c5f3a0c8efd0e61de0b0af","3267.996286982","No"
"0x41911b347f633cdafdc121ccf0cbc34b2ece62ae","585.723703883","No"
"0x8230150f3d5eb700a776718ee78a08cc56f0fb73","2386121.71635764","No"
"0x08ebf2f766d0259f32d89a055562f8777e44e8db","22082.026114662","No"
"0xeb4ea7a62efe0567697943907c2bc61ba1583c8d","9916155191.44273","No"
"0xe7d208d679386717fb113193054511cbd510f1b9","470595.096153653","No"
"0x74cb023f8fcd93b09660dbbe9153c3bcca367f7f","303091.290886291","No"
"0x7c889c6200de8c481c2dfce1c1c3cf988685f45b","49170.867828047","No"
"0x1f1a60a69c90c4828729ed5dd76bea195f4d3741","17014.524545837","No"
"0xbd3b2e1266a43cd183ebbb38f8ee470266b62083","1032961.7005978","No"
"0xa7dee91d82a61dac8a24e53e736a479b56fa916a","4341.364356066","No"
"0xc80b624133e1457fabb3c9d720c491ba45098d49","318750.178060204","No"
"0x391ac1880849b53ea052889aadb5104a6c04d4f5","0.157403124","No"
"0xcb7ea01ed89fa9288aaf00db35963dac57f8fb64","3631.86707103","No"
"0x0e2b7889bc168e322bfecea1b4efb7cf5e6e6ceb","4707764.72167891","No"
"0x02b314235de78f743f784d086bde8eb38e604a2d","14144.583574848","No"
"0xf6ffa7aad6ae31b10d6ff6aeaa4aea5fcb90fe3a","60627.107936309","No"
"0x0b0946d876247290f20aa4971a013cd42e743c44","1496045.31229574","No"
"0xb2951102b3d1c2fef35e7724c8584c2e503e03ab","62308773.1431631","No"
"0x3807cd340037912d166b1a8da69c794fc4af3c0b","21030774368.5592","No"
"0xc63addd6c911c63fc236320dbfa3b0f8044b7289","120991.996925545","No"
"0x6d9baa33e553eb434b5dbf2c584cae13735409f4","11839249040570.2","No"
"0x262e227f062da16577f7b532e5330ba7c50960fe","468.798990661","No"
"0xba62bf39e7e0796ddd206980ee8440c0c6f8fece","1974740.63118923","No"
"0x924e8fc81484781b8057db784266017fce1af136","58175225964.6206","No"
"0xb4d17ba33aa18d809744d1ce9e1904d6a01bfe9d","58062240477.9269","No"
"0x2c89fa907ee6592acc13c711d09e8363a41a5960","417026085318.811","No"
"0xe2986de02fcbaf8e53c21f4e0ba857b1d913e959","1089891.32283257","No"
"0x7db599c4f2c2dd837c31a4367296c5672586b9ef","15428.537062689","No"
"0xa1aefa4fc7dcdc7d70f324d88c397b112fbfe609","151760.555950517","No"
"0x7220d72d3d7164fb0a2bf392842175decd3d66bb","4.101626386","No"
"0x6e869cbdf80e89862ba0575213227ea0cc0745ad","62623.424261574","No"
"0x6d3bed114be4af54011f8a43cdb6a32ff52e631e","235219.347232313","No"
"0x2c0f7545958b6c83f057aff79d131dc26799939b","477.150200015","No"
"0x38ecbfe71bd0c34bed91e8c4d9f3d84909885c0b","68483014.0806288","No"
"0x88ecdbb9615f22a23bc212bc8691303b3d183446","29893.379544584","No"
"0x924eb1fdeb78b635f9c18cf1a5c9ea2b4590d67b","23457931157.5156","No"
"0x49f8ee914f9c0fe04b36f177e1f153646b20f692","17847.212801488","No"
"0xd3e98569cb6bdbd6749d9608e78be69a44c34390","206144.310735395","No"
"0x2238e16db9a565ef6fd57db461a87755c8e9ef22","657147.459766853","No"
"0xc52ba2f550a23f6ddf2c5a76355de8c026092fbb","9025083495.51012","No"
"0x965b1a4cf2f938f0f3ba08df36730dbd8647b831","31013.538833163","No"
"0x3c0048a3c4197824e94facd51919e0bdf4f45719","205351.331888122","No"
"0x61390c8d6d765ce27d02c1fa2477e19131d0910f","15778353221.3105","No"
"0x3d5359e18b4f9ab367758d282ed985ef4a17feee","11149.657110292","No"
